ground_index,excited_index,ground_level,ground_F,ground_mF,excited_level,excited_F,excited_mF,q,squared_dipole_strength,spontaneous_branching_weight,intended_frequency_components,zero_field_detuning_gamma_by_component,resonance_class_by_component
0,0,lower_F1,1.0,-1.0,Fprime0,0.0,-0.0,-1,0.00830017295017856,0.008300173935834616,1,"{""1"": -0.9760765550239228}","{""1"": ""resonant""}"
0,2,lower_F1,1.0,-1.0,Fprime1,1.0,0.0,-1,0.20131920810584358,0.20131922483199657,1,"{""1"": -1.0}","{""1"": ""resonant""}"
1,3,lower_F1,1.0,0.0,Fprime1,1.0,1.0,-1,0.20131920810584358,0.20131922612135392,1,"{""1"": -1.0}","{""1"": ""resonant""}"
3,3,F0,0.0,-0.0,Fprime1,1.0,1.0,-1,0.2222221958839476,0.22222221577000964,2,"{""2"": -1.0}","{""2"": ""resonant""}"
4,0,upper_F1,1.0,-1.0,Fprime0,0.0,-0.0,-1,0.3250331207994038,0.3250331593974987,"3,4","{""3"": -1.1978090806240842, ""4"": 1.8021909193759162}","{""3"": ""resonant"", ""4"": ""near_resonant""}"
4,2,upper_F1,1.0,-1.0,Fprime1,1.0,0.0,-1,0.04868079034241085,0.04868079438694468,"3,4","{""3"": -1.2217325256001605, ""4"": 1.77826747439984}","{""3"": ""resonant"", ""4"": ""near_resonant""}"
5,3,upper_F1,1.0,0.0,Fprime1,1.0,1.0,-1,0.04868079034241085,0.04868079469872284,"3,4","{""3"": -1.2217325256001605, ""4"": 1.77826747439984}","{""3"": ""resonant"", ""4"": ""near_resonant""}"
7,1,F2,2.0,-2.0,Fprime1,1.0,-1.0,-1,0.166666630130269,0.16666664504481404,"3,4","{""3"": -0.7782674743998408, ""4"": 2.2217325256001597}","{""3"": ""resonant"", ""4"": ""near_resonant""}"
8,2,F2,2.0,-1.0,Fprime1,1.0,0.0,-1,0.08333331313558376,0.0833333200591444,"3,4","{""3"": -0.7782674743998408, ""4"": 2.2217325256001597}","{""3"": ""resonant"", ""4"": ""near_resonant""}"
9,3,F2,2.0,0.0,Fprime1,1.0,1.0,-1,0.027777774466408712,0.027777776952166464,"3,4","{""3"": -0.7782674743998408, ""4"": 2.2217325256001597}","{""3"": ""resonant"", ""4"": ""near_resonant""}"
0,1,lower_F1,1.0,-1.0,Fprime1,1.0,-1.0,0,0.20131920810584358,0.20131922612135392,1,"{""1"": -1.0}","{""1"": ""resonant""}"
1,0,lower_F1,1.0,0.0,Fprime0,0.0,-0.0,0,0.00830017295017856,0.008300173935834616,1,"{""1"": -0.9760765550239228}","{""1"": ""resonant""}"
2,3,lower_F1,1.0,1.0,Fprime1,1.0,1.0,0,0.20131920810584358,0.20131922612135392,1,"{""1"": -1.0}","{""1"": ""resonant""}"
3,2,F0,0.0,-0.0,Fprime1,1.0,0.0,0,0.2222221958839476,0.22222221434677825,2,"{""2"": -1.0}","{""2"": ""resonant""}"
4,1,upper_F1,1.0,-1.0,Fprime1,1.0,-1.0,0,0.04868079034241085,0.04868079469872284,"3,4","{""3"": -1.2217325256001605, ""4"": 1.77826747439984}","{""3"": ""resonant"", ""4"": ""near_resonant""}"
5,0,upper_F1,1.0,0.0,Fprime0,0.0,-0.0,0,0.3250331207994038,0.3250331593974987,"3,4","{""3"": -1.1978090806240842, ""4"": 1.8021909193759162}","{""3"": ""resonant"", ""4"": ""near_resonant""}"
6,3,upper_F1,1.0,1.0,Fprime1,1.0,1.0,0,0.04868079034241085,0.04868079469872284,"3,4","{""3"": -1.2217325256001605, ""4"": 1.77826747439984}","{""3"": ""resonant"", ""4"": ""near_resonant""}"
8,1,F2,2.0,-1.0,Fprime1,1.0,-1.0,0,0.08333331313558376,0.0833333205928561,"3,4","{""3"": -0.7782674743998408, ""4"": 2.2217325256001597}","{""3"": ""resonant"", ""4"": ""near_resonant""}"
9,2,F2,2.0,0.0,Fprime1,1.0,0.0,0,0.11111109786563485,0.11111110709705017,"3,4","{""3"": -0.7782674743998408, ""4"": 2.2217325256001597}","{""3"": ""resonant"", ""4"": ""near_resonant""}"
10,3,F2,2.0,1.0,Fprime1,1.0,1.0,0,0.08333331313558376,0.0833333205928561,"3,4","{""3"": -0.7782674743998408, ""4"": 2.2217325256001597}","{""3"": ""resonant"", ""4"": ""near_resonant""}"
1,1,lower_F1,1.0,0.0,Fprime1,1.0,-1.0,1,0.20131920810584358,0.20131922612135392,1,"{""1"": -1.0}","{""1"": ""resonant""}"
2,0,lower_F1,1.0,1.0,Fprime0,0.0,-0.0,1,0.00830017295017856,0.008300173935834616,1,"{""1"": -0.9760765550239228}","{""1"": ""resonant""}"
2,2,lower_F1,1.0,1.0,Fprime1,1.0,0.0,1,0.20131920810584358,0.20131922483199657,1,"{""1"": -1.0}","{""1"": ""resonant""}"
